region,state,county,county2,poor_mental_health_days,poor_physical_health_days,poor_or_fair_health,adult_smoking,infant_mortality,high_school_graduation,premature_death,premature_ageadjusted_mortality,social_associations,homicide_rate,unemployment,low_birthweight,preventable_hospital_stays,children_in_singleparent_households,excessive_drinking,injury_deaths,mean_commute_minutes_x,children_in_poverty,diabetes,motor_vehicle_crash_deaths,severe_housing_problems
South,Alabama,Autauga County,"Autauga County, Alabama",,1.8,0.058,0.098,0,0.881,4528,196,13.285,0,0.058,0.09,25.17,0.225,0.265,80.4,15.895,0.121,0.039,21.25,0.123
South,Alabama,"Baldwin County, AL","Baldwin County, AL, Alabama",,2.2,0,0.095,0,0.83,2984,121,7.845,0,0.058,0.11,15.35,0.275,0.329,44.7,15.5623,0.131,0.04,16.57,0.141
South,Alabama,Barbour County,"Barbour County, Alabama",,2.4,0.087,0.075,0,0.909,3928,181.7,6.578,0,0.039,0.09,22.44,0.19,0.191,49.7,21.1842,0.096,0.04,18.67,0.186
South,Alabama,Bibb County,"Bibb County, Alabama",,2.5,0.154,0.095,3.7,0.75,3493,148.7,10.024,0,0.066,0.1,20.03,0.191,0.232,41.6,19.2323,0.136,0.041,25.87,0.096
South,Alabama,Blount County,"Blount County, Alabama",,2.1,0.059,0.098,0,0.825,3853,164.1,19.839,0,0.053,0.06,26.91,0.184,0.211,46.8,13.6412,0.105,0.043,25.57,0.118
South,Alabama,Bullock County,"Bullock County, Alabama",,2.7,0.082,0.134,5.9,0.86,4621,226.3,13.605,0,0.044,0.07,31.57,0.212,0.218,58,16.2858,0.13,0.044,54.19,0.134
South,Alabama,Butler County,"Butler County, Alabama",,2.2,0.067,0.083,3.9,0.87,3538,169.3,5.835,1.5,0.054,0.09,32.71,0.146,0.176,36.2,24.8669,0.038,0.045,21.32,0.178
South,Alabama,"Calhoun County, AL","Calhoun County, AL, Alabama",,3.4,0.114,0.173,4.2,0.884,5883,298.1,11.444,0,0.053,0.07,38.16,0.288,0.221,79.4,16.5476,0.188,0.046,17.54,0.145
South,Alabama,Chambers County,"Chambers County, Alabama",,2.8,0.091,0.115,5.1,0.866,4065,207.5,9.433,1.2,0.052,0.07,32.56,0.238,0.155,63.4,20.0396,0.128,0.047,28.22,0.171
South,Alabama,Cherokee County,"Cherokee County, Alabama",,2.7,0.07,0.138,0,0.875,5331,204,20.679,0,0.059,0.09,35.76,0.259,0.265,56,13.4617,0.181,0.048,24.37,0.116
South,Alabama,Chilton County,"Chilton County, Alabama",,0,0,0,0,0,3445,153.2,14.512,0,0.063,0.07,0,0.19,0.274,61.9,17.3788,0.18,0.048,30.34,0.169
South,Alabama,Choctaw County,"Choctaw County, Alabama",,1.8,0,0,0,0.975,2835,118.5,19.695,0,0.065,0.09,17.97,0.179,0.263,60,15.9608,0.089,0.049,45.99,0.135
South,Alabama,Clarke County,"Clarke County, Alabama",,3.3,0.145,0.163,4.8,0.638,7337,292.1,9.018,6.5,0.055,0.1,30.03,0.388,0.136,94,20.0779,0.269,0.051,29.09,0.152
South,Alabama,Clay County,"Clay County, Alabama",,5.2,0.191,0.146,0,0.697,5855,270,14.99,0,0.084,0.15,77.51,0.389,0.17,100.1,22.3021,0.268,0.052,20.51,0.147
South,Alabama,Cleburne County,"Cleburne County, Alabama",,2.4,0.071,0.152,0,0.873,5095,235,6.843,0,0.058,0.09,33.22,0.137,0.165,64.2,35.4193,0.091,0.053,19.27,0.144
South,Alabama,Coffee County,"Coffee County, Alabama",,3,0.103,0.148,4.8,0.828,4779,232.1,8.986,1.7,0.054,0.08,40.68,0.234,0.164,56.8,20.9613,0.127,0.053,21.26,0.121
South,Alabama,Colbert County,"Colbert County, Alabama",,2.4,0.082,0.101,3.9,0.81,3388,199.9,12.848,1.6,0.036,0.07,32.91,0.226,0.187,26.1,26.4397,0.112,0.053,19.94,0.14
South,Alabama,Conecuh County,"Conecuh County, Alabama",,2.1,0,0.219,0,0.798,5104,212,16.203,0,0.059,0.11,28.15,0.238,0.22,54.7,17.9757,0.164,0.054,36.55,0.206
South,Alabama,Coosa County,"Coosa County, Alabama",,3,0.102,0.141,0,0.85,5474,278.7,11.536,0,0.04,0.1,53.69,0.242,0.163,55.3,12.0525,0.142,0.054,25.31,0.159
South,Alabama,Covington County,"Covington County, Alabama",,2.9,0.106,0.031,4.7,1,4276,246,1.869,0,0.046,0.05,26.82,0.118,0.032,29.5,14.4389,0.191,0.055,23.86,0.164
South,Alabama,Crenshaw County,"Crenshaw County, Alabama",,2.3,0.076,0.135,4.8,0.897,4353,233.5,9.243,2.3,0.033,0.07,42.44,0.267,0.224,39.1,17.5758,0.127,0.055,31.74,0.117
South,Alabama,Cullman County,"Cullman County, Alabama",,2.2,0.064,0.107,4.1,0.934,3945,212.2,14.922,2.2,0.035,0.06,44.13,0.211,0.18,36,16.9353,0.105,0.055,26.04,0.14
South,Alabama,Dale County,"Dale County, Alabama",,2.5,0.085,0.174,0,0.777,5237,233,10.114,4.9,0.055,0.08,24.26,0.286,0.213,77.4,19.8036,0.146,0.056,20.06,0.114
South,Alabama,Dallas County,"Dallas County, Alabama",,2.1,0.106,0.182,0,0.831,5009,265.8,12.751,0,0.042,0.06,47.11,0.236,0.209,39.1,16.2641,0.135,0.056,27.4,0.235
South,Alabama,DeKalb County,"DeKalb County, Alabama",,3.5,0.11,0.194,4,0.663,5862,304.7,10.671,4.3,0.058,0.06,29.53,0.308,0.2,60.6,18.5943,0.112,0.057,20.5,0.144
South,Alabama,Elmore County,"Elmore County, Alabama",,3.5,0.113,0.054,4.3,0.807,4961,248.6,2.017,1,0.043,0.06,32.87,0.114,0.044,46,20.0686,0.121,0.057,20.96,0.124
South,Alabama,Escambia County,"Escambia County, Alabama",,2.9,0.116,0.165,0,0.897,3937,183,10.61,0,0.036,0.11,32.77,0.177,0.231,67.5,21.4876,0.075,0.057,28.19,0.143
South,Alabama,"Etowah County, AL","Etowah County, AL, Alabama",,3.2,0.165,0.184,4.6,0.746,5751,246.5,9.833,0,0.068,0.07,31.94,0.227,0.183,75.8,26.9061,0.164,0.058,19.34,0.145
South,Alabama,Fayette County,"Fayette County, Alabama",,2.8,0.1,0.157,5.4,0.81,5417,261.2,7.408,1.8,0.063,0.08,32.87,0.276,0.19,67.9,25.1603,0.126,0.058,37.02,0.104
South,Alabama,Franklin County,"Franklin County, Alabama",,2.2,0.082,0.132,0,0.918,4507,247.7,17.163,0,0.032,0.05,53.56,0.269,0.198,37.5,13.3662,0.12,0.058,27.21,0.15
South,Alabama,Geneva County,"Geneva County, Alabama",,3.1,0.09,0.136,4.5,0.858,4762,246.6,13.108,1.5,0.046,0.06,40.29,0.273,0.229,48.9,20.0155,0.136,0.058,26.82,0.144
South,Alabama,Greene County,"Greene County, Alabama",,3.3,0.211,0.299,10.1,0.442,12864,476.9,5.635,18.3,0.154,0.05,133.57,0.29,0.171,157.3,7.08554,0.308,0.059,28.07,0.186
South,Alabama,Hale County,"Hale County, Alabama",,3,0.092,0.126,5.4,0,4695,244.4,6.518,3.5,0.061,0.08,35.3,0.21,0.157,49.7,26.1456,0.07,0.059,34.92,0.18
South,Alabama,Henry County,"Henry County, Alabama",,2.2,0.092,0.131,0,0.757,4529,191,17.024,0,0.056,0.07,25.51,0.23,0.27,68.4,15.9994,0.14,0.059,21.59,0.128
South,Alabama,"Houston County, AL","Houston County, AL, Alabama",,2.7,0.098,0.15,4,0.809,4319,231,8.443,0.9,0.047,0.06,43.67,0.252,0.198,47.9,22.9876,0.1,0.059,17.7,0.129
South,Alabama,Jackson County,"Jackson County, Alabama",,3.1,0.162,0.145,0,0,7597,310.5,11.667,0,0.054,0.07,55.42,0.106,0.179,110.1,15.2776,0.117,0.06,31.07,0.119
South,Alabama,"Jefferson County, AL","Jefferson County, AL, Alabama",,4.8,0.21,0.152,0,0,6609,251.8,11.104,0,0.104,0.11,42.69,0.423,0,84,17.0941,0.43,0.06,17.33,0.177
South,Alabama,Lamar County,"Lamar County, Alabama",,2.4,0.073,0.156,7.2,0.764,4492,244.8,11.39,0,0.045,0.06,40.6,0.24,0.18,35.4,14.4393,0.174,0.06,27.36,0.116
South,Alabama,Lauderdale County,"Lauderdale County, Alabama",,1.9,0.082,0.106,6.8,0.872,3451,179.2,12.63,0,0.029,0.06,44.39,0.202,0.231,38.2,19.0134,0.052,0.06,17.54,0.149
South,Alabama,Lawrence County,"Lawrence County, Alabama",,2.9,0.078,0.109,4.4,0.907,4301,236,12.429,1.3,0.035,0.07,44.03,0.263,0.204,48.5,19.4247,0.101,0.06,27.18,0.101
South,Alabama,"Lee County, AL","Lee County, AL, Alabama",,4.4,0.172,0.232,0,0.872,5754,325.8,18.524,0,0.087,0.05,44.9,0.363,0.218,72.8,8.96728,0.109,0.061,13.36,0.192
South,Alabama,Limestone County,"Limestone County, Alabama",,2.8,0.12,0.154,6.7,0.729,5309,258.8,7.657,3.7,0.065,0.09,37.44,0.309,0.175,59.1,25.7704,0.166,0.061,20.86,0.118
South,Alabama,Lowndes County,"Lowndes County, Alabama",,3.1,0.128,0.157,0,0.756,6044,244.9,8.11,0,0.065,0.11,17.77,0.195,0.208,73,37.7104,0.159,0.061,42.13,0.266
South,Alabama,Macon County,"Macon County, Alabama",,2.7,0.116,0.156,5,0.875,4826,263.9,10.366,0,0.051,0.06,34.43,0.283,0.192,43.8,19.5548,0.152,0.061,26.64,0.207
South,Alabama,"Madison County, AL","Madison County, AL, Alabama",,3.3,0.1,0.121,3.6,0.882,4652,247.8,9.262,0,0.061,0.06,54.92,0.303,0.197,38.2,21.1855,0.121,0.062,15.1,0.124
South,Alabama,Marengo County,"Marengo County, Alabama",,2.6,0.106,0.147,4.6,0.874,5411,311.2,12.746,0,0.033,0.06,57.84,0.242,0.199,47.6,13.3428,0.12,0.062,23.71,0.144
South,Alabama,Marion County,"Marion County, Alabama",,3.3,0.113,0.108,0,0.705,4713,234,12.843,0,0.058,0.05,27.72,0.227,0.14,41.9,18.0146,0.146,0.062,26.52,0.125
South,Alabama,Marshall County,"Marshall County, Alabama",,2.9,0.131,0.144,5.6,0.847,5094,268,9.337,2.8,0.051,0.08,56.34,0.328,0.217,52.8,22.976,0.21,0.062,25.19,0.138
South,Alabama,"Mobile County, AL","Mobile County, AL, Alabama",,2.8,0.099,0.078,0,0.9,4834,212.8,3.561,0,0.051,0.06,24.18,0.167,0.088,60.9,23.9882,0.11,0.062,21.61,0.173
South,Alabama,Monroe County,"Monroe County, Alabama",,2.6,0.104,0.092,4.7,0.75,4621,235.3,23.514,2.7,0.041,0.07,49.4,0.312,0.218,31.5,29.3015,0.153,0.062,35.17,0.17
South,Alabama,"Montgomery County, AL","Montgomery County, AL, Alabama",,2.7,0.065,0.214,0,0,0,0,26.667,0,0.088,0,0,0.046,0.276,0,13.1463,0.039,0.063,13.36,0.187
South,Alabama,"Morgan County, AL","Morgan County, AL, Alabama",,2.8,0.132,0.198,0,0.8,6075,291.2,13.344,0,0.056,0.06,67.31,0.337,0.267,62.8,10.771,0.098,0.063,21.01,0.116
South,Alabama,Perry County,"Perry County, Alabama",,2.5,0.144,0.204,0,0.775,5188,217.7,14.913,0,0.079,0.09,15.6,0.332,0.165,72.6,18.7098,0.261,0.063,36.48,0.211
South,Alabama,Pickens County,"Pickens County, Alabama",,3.2,0.164,0.195,6.9,0.536,7151,361.4,10.5,7.3,0.07,0.09,37.38,0.386,0.22,84.4,23.1911,0.287,0.063,27.46,0.138
South,Alabama,Pike County,"Pike County, Alabama",,3,0.148,0.187,0,0.602,8497,356.2,11.797,8.9,0.076,0.07,30.64,0.359,0.166,102.3,20.1139,0.302,0.063,24.69,0.187
South,Alabama,Randolph County,"Randolph County, Alabama",,3.3,0.154,0.178,6.5,0.811,5787,283.8,7.243,2.2,0.071,0.08,42.1,0.259,0.172,60.1,24.8893,0.166,0.063,29.46,0.169
South,Alabama,Russell County,"Russell County, Alabama",,2.8,0.094,0.16,4.3,0.88,4248,228.9,10.916,0,0.054,0.06,54.91,0.212,0.236,46.8,28.8923,0.082,0.063,28.07,0.163
South,Alabama,St. Clair County,"St. Clair County, Alabama",,3.6,0.143,0.175,5.8,0.641,7128,331.3,7.632,7.1,0.069,0.09,32.22,0.408,0.13,90.1,20.7509,0.271,0.063,26.89,0.127
South,Alabama,"Shelby County, AL","Shelby County, AL, Alabama",,3.4,0.168,0.101,4,0.896,5066,249.1,7.197,3.7,0.095,0.06,34.58,0.296,0.205,53.3,24.0229,0.189,0.064,13.76,0.102
South,Alabama,Sumter County,"Sumter County, Alabama",,3.9,0.144,0.14,4.1,0.849,4942,258,7.096,2.4,0.067,0.06,30.85,0.289,0.217,49.9,23.3224,0.16,0.064,31.16,0.244
South,Alabama,Talladega County,"Talladega County, Alabama",,0,0,0,0,0,0,0,0,0,0.071,0,0,0.169,0,0,11.2315,0.272,0.064,23.29,0.151
South,Alabama,Tallapoosa County,"Tallapoosa County, Alabama",,2.9,0.128,0.177,0,0,5138,291.7,13.835,0,0.037,0.07,82.95,0.086,0,71.8,14.4754,0.189,0.064,23.06,0.154
South,Alabama,"Tuscaloosa County, AL","Tuscaloosa County, AL, Alabama",,3.2,0.129,0.173,5.6,0.831,6405,316.5,21.425,0,0.046,0.08,40.12,0.27,0.179,86.4,16.0312,0.162,0.064,17.95,0.188
South,Alabama,Walker County,"Walker County, Alabama",,2.1,0.122,0.267,0,0,0,173.7,9.014,0,0.088,0.04,0,0.289,0.266,47.2,7.20005,0.076,0.065,38,0.108
South,Alabama,Washington County,"Washington County, Alabama",,3.7,0.21,0.105,5,0.878,4986,251.1,7.606,2.6,0.068,0.06,30.43,0.312,0.18,45.6,18.0735,0.209,0.065,31.91,0.146
South,Alabama,Wilcox County,"Wilcox County, Alabama",,3.5,0.12,0.178,7.6,0.809,6169,291.4,8.838,4.4,0.08,0.1,37,0.282,0.149,69.1,20.9713,0.138,0.065,50.58,0.173
South,Alabama,Winston County,"Winston County, Alabama",,3.2,0.132,0.103,0,0.833,4851,230.9,2.984,0,0.05,0.07,53.41,0.251,0.199,81.9,27.0301,0.201,0.065,39.54,0.13
West,Alaska,Aleutians East Borough,"Aleutians East Borough, Alaska",,3.1,0.11,0.046,3.4,0.856,4125,213.8,2.77,0,0.036,0.06,22.23,0.15,0.063,39.6,16.3099,0.142,0.065,0,0.134
West,Alaska,Aleutians West Census Area,"Aleutians West Census Area, Alaska",,3.5,0.115,0.175,0,0.7,6418,292.9,18.123,0,0.046,0.05,39.41,0.337,0.209,65.2,14.6624,0.097,0.066,0,0.207
West,Alaska,"Anchorage Municipality, AK","Anchorage Municipality, AK, Alaska",,3.6,0.137,0.212,0,0.79,6917,332.4,15.641,2.7,0.075,0.05,41.31,0.286,0.185,97.1,18.3457,0.139,0.066,7.45,0.168
West,Alaska,Bethel Census Area,"Bethel Census Area, Alaska",,3.4,0.097,0.097,3,0.931,3501,185.3,8.123,1.7,0.05,0.06,30.19,0.238,0.22,52,27.1574,0.103,0.066,0,0.624
West,Alaska,Bristol Bay Borough,"Bristol Bay Borough, Alaska",,6.5,0,0.155,0,0,4296,259.9,7.456,0,0.091,0.1,66.84,0.377,0,62.8,21.4492,0.385,0.066,0,0.106
West,Alaska,Denali Borough,"Denali Borough, Alaska",,2.6,0.091,0.132,4.1,0.88,3769,212,7.399,0,0.047,0.06,52.26,0.157,0.223,40.7,25.0428,0.067,0.066,0,0.271
West,Alaska,Dillingham Census Area,"Dillingham Census Area, Alaska",,3.9,0.188,0.136,0,0.8,7594,307.4,18.629,0,0.059,0.06,43.67,0.26,0.161,97.1,21.7573,0.189,0.066,0,0.332
West,Alaska,"Fairbanks North Star Borough, AK","Fairbanks North Star Borough, AK, Alaska",,2.6,0.079,0.128,0,0.95,3767,205.3,10.075,0,0.059,0.07,45.14,0.167,0.181,35.6,30.4146,0.042,0.066,10.73,0.211
West,Alaska,Haines Borough,"Haines Borough, Alaska",,2.2,0.074,0.111,4.6,0.86,3480,172.5,8.037,1.9,0.043,0.07,37.14,0.185,0.203,29,30.1043,0.077,0.066,0,0.191
West,Alaska,Juneau City and Borough,"Juneau City and Borough, Alaska",,4,0.154,0.216,0,0.508,7098,366.7,11.198,0,0.111,0.06,29.16,0.274,0.145,59.7,11.0557,0.213,0.067,5.92,0.156
West,Alaska,Kenai Peninsula Borough,"Kenai Peninsula Borough, Alaska",,2.8,0.178,0.173,6.6,0.792,4806,232.2,5.285,4.9,0.18,0.08,26.57,0.355,0.174,48.8,20.5182,0.347,0.067,17.51,0.201
West,Alaska,Ketchikan Gateway Borough,"Ketchikan Gateway Borough, Alaska",,3.9,0.24,0.125,4.7,0.824,4991,245.2,5.085,8.6,0.101,0.06,36.42,0.32,0.154,50,21.324,0.244,0.067,0,0.17
West,Alaska,Kodiak Island Borough,"Kodiak Island Borough, Alaska",,2.8,0.073,0.186,0,0.925,6832,262.4,6.647,0,0.063,0.11,0,0.167,0.23,68.5,28.9868,0.135,0.067,0,0.219
West,Alaska,Lake and Peninsula Borough,"Lake and Peninsula Borough, Alaska",,0,0,0.169,0,0,5209,248.9,5.463,0,0.057,0.11,0,0.356,0.186,41.1,30.5966,0.103,0.067,0,0.33
West,Alaska,Matanuska-Susitna Borough,"Matanuska-Susitna Borough, Alaska",,2.7,0.089,0.141,5.5,0.663,4946,259.9,10.704,3.8,0.047,0.07,38.59,0.32,0.185,57.7,21.889,0.153,0.067,11.22,0.195
West,Alaska,Nome Census Area,"Nome Census Area, Alaska",,2.6,0.103,0.15,5.2,0.829,5013,275.3,16.223,0,0.03,0.06,57.25,0.289,0.164,47.5,13.4651,0.152,0.067,18.1,0.401
West,Alaska,North Slope Borough,"North Slope Borough, Alaska",,4.5,0.188,0.482,0,0.525,12342,494.7,10.243,0,0.152,0.06,0,0.441,0.212,168.4,7.08133,0.286,0.068,0,0.366
West,Alaska,Northwest Arctic Borough,"Northwest Arctic Borough, Alaska",,0,0,0,0,0.824,3449,148.5,6.97,0,0.086,0.08,20.61,0.256,0.259,35.3,16.433,0.187,0.068,0,0.538
West,Alaska,None,"None, Alaska",,3,0.092,0.141,4.7,0.887,5872,256.3,9.767,2.3,0.077,0.06,35.93,0.28,0.171,73.7,22.2261,0.178,0.068,0,0.202
West,Alaska,Sitka City and Borough,"Sitka City and Borough, Alaska",,3.1,0.164,0.095,3.9,0.82,5002,258.3,9.13,7.2,0.057,0.07,40.15,0.282,0.206,58.7,29.5219,0.144,0.068,22.48,0.255
West,Alaska,None,"None, Alaska",,3.6,0.167,0.081,3.5,0.895,4923,276.6,6.418,1.6,0.094,0.05,28.07,0.276,0.19,39.5,21.0604,0.179,0.068,0,0.19
West,Alaska,Southeast Fairbanks Census Area,"Southeast Fairbanks Census Area, Alaska",,1.5,0,0,0,0,0,0,14.837,0,0.036,0.23,0,0.275,0,0,15.9947,0.262,0.068,0,0.231
West,Alaska,Valdez-Cordova Census Area,"Valdez-Cordova Census Area, Alaska",,4.2,0.161,0.219,0,0.825,7441,361.3,12.879,0,0.062,0.09,69.72,0.192,0.259,94.5,19.2624,0.164,0.068,0,0.525
West,Arizona,Wade Hampton Census Area,"Wade Hampton Census Area, Arizona",,3.6,0.153,0.183,6,0.701,6962,357.5,6.373,5.1,0.096,0.08,47.24,0.334,0.205,71.8,20.6474,0.196,0.068,58.35,0.357
West,Arizona,None,"None, Arizona",,3.6,0.155,0.129,4.2,0.666,4409,240.1,12.785,3.6,0.072,0.09,47.03,0.424,0.207,31.5,28.9512,0.266,0.068,18.87,0.148
West,Arizona,Yakutat City and Borough,"Yakutat City and Borough, Arizona",,3,0.102,0.111,4.2,0.805,4584,243.5,9.584,2.9,0.052,0.07,32.99,0.251,0.184,48.3,26.3472,0.157,0.068,27.33,0.257
West,Arizona,Yukon-Koyukuk Census Area,"Yukon-Koyukuk Census Area, Arizona",,3.4,0.132,0.153,0,0.79,4964,265.7,10.079,0,0.074,0.05,47.51,0.244,0.173,54.7,20.1647,0.186,0.068,26.83,0.186
West,Arizona,Apache County,"Apache County, Arizona",,3.1,0.116,0.091,4.5,0.917,5516,268.7,8.879,2.2,0.067,0.06,28.78,0.257,0.175,57.5,19.8227,0.161,0.069,16.48,0.173
West,Arizona,"Cochise County, AZ","Cochise County, AZ, Arizona",,5.5,0.265,0.21,0,0.916,9363,422.7,3.625,0,0.101,0.11,41.25,0.25,0.134,114.2,21.2711,0.304,0.069,32.16,0.122
West,Arizona,"Coconino County, AZ","Coconino County, AZ, Arizona",,3.3,0.137,0.155,7.5,0.779,6979,312.9,10.313,6.3,0.093,0.09,35.77,0.252,0.139,103.8,18.1821,0.233,0.069,42.52,0.19
West,Arizona,Gila County,"Gila County, Arizona",,2.1,0,0,0,0,3870,173.6,15.453,0,0.055,0.09,0,0.112,0,67.8,19.9474,0.166,0.069,11.28,0.201
West,Arizona,Graham County,"Graham County, Arizona",,3.6,0.115,0.142,0,0.819,5943,277.9,10.214,0,0.057,0.05,41.66,0.193,0.217,56.3,17.3176,0.152,0.069,19.83,0.185
West,Arizona,Greenlee County,"Greenlee County, Arizona",,3.8,0.138,0.169,4.5,0.848,6000,294.3,15.387,2.5,0.079,0.06,39.7,0.288,0.183,75.6,17.9922,0.224,0.069,38.55,0.263
West,Arizona,La Paz County,"La Paz County, Arizona",,3.1,0.1,0.063,4.8,0.861,5009,241.5,2.375,1.2,0.042,0.07,28.48,0.16,0.074,49.7,21.3678,0.097,0.069,12.69,0.198
West,Arizona,"Maricopa County, AZ","Maricopa County, AZ, Arizona",,3.3,0.124,0.109,5.3,0.766,6075,303.2,4.446,2.8,0.042,0.07,29.72,0.223,0.12,65.1,21.1585,0.159,0.069,16.98,0.181
West,Arizona,"Mohave County, AZ","Mohave County, AZ, Arizona",,3.3,0.125,0.157,5.7,0.73,6856,338.1,10.984,5.6,0.05,0.06,39.86,0.309,0.185,68.7,18.7717,0.102,0.07,14.45,0.223
West,Arizona,"Navajo County, AZ","Navajo County, AZ, Arizona",,3.7,0.163,0.121,6,0.868,4730,234.2,6.053,2.8,0.078,0.06,40.52,0.267,0.177,43.9,24.3751,0.18,0.07,16.59,0.197
West,Arizona,"Pima County, AZ","Pima County, AZ, Arizona",,3.5,0.166,0.216,6.7,0.664,6235,335,4.722,4.4,0.075,0.09,45.64,0.301,0.189,62.9,27.5471,0.175,0.07,12.79,0.211
South,Arkansas,"Pinal County, AZ","Pinal County, AZ, Arkansas",,4.3,0.154,0.267,0,0,8993,428.3,12.125,0,0.077,0.13,98.67,0.336,0,64.7,16.4051,0.37,0.07,24.55,0.119
South,Arkansas,Santa Cruz County,"Santa Cruz County, Arkansas",,2.3,0.094,0.203,0,0.846,6292,280.3,22.59,0,0.062,0.1,32.75,0.321,0.117,82.9,13.3649,0.193,0.07,33.15,0.108
South,Arkansas,"Yavapai County, AZ","Yavapai County, AZ, Arkansas",,0,0,0,0,0,0,0,49.383,0,0.034,0,0,0.157,0,0,11.776,0.312,0.07,24.18,0.14
South,Arkansas,"Yuma County, AZ","Yuma County, AZ, Arkansas",,3,0.08,0.226,0,0.843,6566,263.8,12.827,0,0.077,0.14,29.15,0.273,0.113,70,29.1563,0.151,0.07,15.32,0.128
South,Arkansas,Arkansas County,"Arkansas County, Arkansas",,2.4,0.082,0.126,5.7,0.928,4250,221.2,8.608,1.6,0.047,0.06,51.03,0.219,0.182,39.2,19.8126,0.07,0.07,24.04,0.113
South,Arkansas,Ashley County,"Ashley County, Arkansas",,3.5,0,0.121,0,0.913,4152,209.5,21.712,0,0.073,0.05,47.73,0.301,0.263,39.8,13.1724,0.134,0.07,27.13,0.163
South,Arkansas,Baxter County,"Baxter County, Arkansas",,2.8,0.101,0.183,5.5,0.842,5063,272.9,13.224,1.9,0.035,0.07,48.61,0.278,0.197,42.2,17.8467,0.167,0.07,28.86,0.074
South,Arkansas,"Benton County, AR","Benton County, AR, Arkansas",,2.9,0.09,0.134,0,0.834,5284,230,17.063,0,0.059,0.04,18.71,0.358,0.212,49.5,13.107,0.181,0.07,28.97,0.169
South,Arkansas,Boone County,"Boone County, Arkansas",,3.1,0.095,0.161,5.1,0.94,4475,233.7,10.936,1,0.059,0.07,44.51,0.167,0.242,62.4,22.9646,0.063,0.07,28.68,0.163
South,Arkansas,Bradley County,"Bradley County, Arkansas",,2.9,0.17,0.382,0,0,0,0,15.818,0,0.115,0,0,0.4,0.398,0,4.80255,0.133,0.071,22.33,0.167
South,Arkansas,Calhoun County,"Calhoun County, Arkansas",,3.5,0.153,0.173,0,0.748,8496,400.5,13.005,0,0.082,0.11,42,0.353,0.14,84.7,13.3939,0.353,0.071,30.07,0.111
South,Arkansas,Carroll County,"Carroll County, Arkansas",,0,0.111,0,0,0,0,421.1,16.009,0,0.035,0,0,0.113,0,150.4,11.0645,0.203,0.071,36.08,0.125
South,Arkansas,Chicot County,"Chicot County, Arkansas",,4.1,0.22,0.191,0,0.674,8000,401.9,13.722,0,0.057,0.09,75.31,0.306,0.114,87.7,12.3591,0.31,0.071,24.54,0.141
South,Arkansas,Clark County,"Clark County, Arkansas",,4.4,0.235,0.197,0,0.749,9151,426.4,17.584,0,0.087,0.11,59.76,0.258,0.086,119.1,17.3656,0.289,0.071,22,0.156
South,Arkansas,Clay County,"Clay County, Arkansas",,3.2,0.121,0.137,0,0,4963,299,20.982,0,0.045,0.06,59.71,0.248,0,66.8,19.7035,0.199,0.071,27.73,0.149
South,Arkansas,Cleburne County,"Cleburne County, Arkansas",,3.1,0.092,0.172,4.3,0.896,5325,261.3,10.772,1.4,0.072,0.07,54.09,0.223,0.187,55.5,25.5117,0.092,0.071,21.37,0.161
South,Arkansas,Cleveland County,"Cleveland County, Arkansas",,0,0,0,0,0.625,6380,469.5,2.301,0,0.167,0.07,0,0.201,0,48.6,9.98856,0.244,0.071,15.2,0.134
South,Arkansas,Columbia County,"Columbia County, Arkansas",,3.1,0.106,0.163,6.4,0.924,4374,241.9,4.742,2,0.083,0.07,62.42,0.202,0.187,33.5,31.9393,0.078,0.071,19.78,0.213
South,Arkansas,Conway County,"Conway County, Arkansas",,2.5,0.092,0.079,5.8,0.87,3525,178.9,8.809,2.4,0.051,0.08,34.97,0.241,0.142,30.3,32.5958,0.097,0.071,31.7,0.151
South,Arkansas,"Craighead County, AR","Craighead County, AR, Arkansas",,2.3,0,0.145,0,0.875,4297,211,17.479,0,0.059,0.05,39.05,0.227,0.259,51,10.8922,0.094,0.071,41.75,0.178
South,Arkansas,Crawford County,"Crawford County, Arkansas",,2.9,0.138,0.238,4.8,0.897,4685,260.5,8.384,0,0.056,0.06,47.04,0.188,0.234,47.7,30.8999,0.077,0.071,28.23,0.124
South,Arkansas,Crittenden County,"Crittenden County, Arkansas",,2.4,0.091,0.152,0,0.823,4723,253.5,15.495,0,0.046,0.06,55.17,0.181,0.202,56,16.6724,0.14,0.071,25.4,0.189
South,Arkansas,Cross County,"Cross County, Arkansas",,2,0.082,0.172,0,0.915,8759,358.4,21.588,0,0.03,0.07,51.15,0.183,0.177,52.2,17.6967,0.134,0.071,14.82,0.152
South,Arkansas,Dallas County,"Dallas County, Arkansas",,2.2,0.117,0.128,0,0.926,3786,241,14.654,0,0.033,0.06,48.88,0.241,0.192,48.2,13.9876,0.131,0.071,18.9,0.102
South,Arkansas,Desha County,"Desha County, Arkansas",,4,0.145,0.216,0,0.63,9382,417.4,7.626,10,0.06,0.06,54.72,0.292,0.23,111.4,29.8319,0.144,0.071,26.76,0.081
South,Arkansas,Drew County,"Drew County, Arkansas",,2.9,0.086,0.095,0,0.87,4203,194,17.071,0,0.04,0.1,27.49,0.22,0.114,58.9,14.9876,0.044,0.071,21.63,0.156
