region,state,county,county2,poor_mental_health_days,poor_physical_health_days,poor_or_fair_health,adult_smoking,infant_mortality,high_school_graduation,premature_death,premature_ageadjusted_mortality,social_associations,homicide_rate,unemployment,low_birthweight,preventable_hospital_stays,children_in_singleparent_households,excessive_drinking,injury_deaths,mean_commute_minutes_x,children_in_poverty,diabetes,motor_vehicle_crash_deaths,severe_housing_problems
South,Florida,"Seminole County, FL","Seminole County, FL, Florida",,2.9,0.116,0.184,5.5,0.891,5543,277.5,13.256,0,0.063,0.07,40.68,0.266,0.216,63.4,19.5003,0.122,0.083,28.84,0.109
South,Florida,"Sumter County, FL","Sumter County, FL, Florida",,2.3,0.072,0.124,0,0.922,5910,273.8,13.276,0,0.059,0.07,53.38,0.225,0.245,69.1,21.8543,0.142,0.083,19.24,0.197
South,Florida,Suwannee County,"Suwannee County, Florida",,2.8,0.089,0.176,6.4,0.903,5782,306.4,11.316,1.4,0.062,0.07,41.29,0.292,0.238,61.8,18.0357,0.157,0.083,22.53,0.15
South,Florida,Taylor County,"Taylor County, Florida",,0,0.283,0.15,0,0.87,6947,346.7,10.36,0,0.122,0.05,51.44,0.319,0.17,62,20.6007,0.285,0.084,26.84,0.218
South,Florida,Union County,"Union County, Florida",,3.8,0.127,0.27,7.4,0.72,7789,365.8,10.9,4.5,0.09,0.09,28.3,0.292,0.134,97.9,22.165,0.312,0.084,29.92,0.181
South,Georgia,"Volusia County, FL","Volusia County, FL, Georgia",,3.2,0.163,0.118,5.5,0.76,5376,271.7,4.774,9.1,0.084,0.09,82.22,0.398,0.124,46.1,28.6499,0.278,0.084,38.58,0.102
South,Georgia,Wakulla County,"Wakulla County, Georgia",,3.1,0.157,0.157,5.5,0.825,5867,278.1,9.79,2.1,0.057,0.08,26.9,0.274,0.212,59.3,21.0559,0.156,0.084,35.98,0.168
South,Georgia,Walton County,"Walton County, Georgia",,3.4,0.14,0.178,7.9,0.755,6598,347.7,10.052,2,0.057,0.07,42.77,0.266,0.131,81.5,16.4367,0.211,0.084,40.12,0.115
South,Georgia,Washington County,"Washington County, Georgia",,3.9,0.152,0.18,0,0.708,4318,207,20.953,0,0.106,0.06,26.42,0.16,0.167,85.6,15.2219,0.182,0.084,0,0.226
South,Georgia,Appling County,"Appling County, Georgia",,3.8,0.126,0.212,4.8,0.918,4914,269.8,6.847,1.4,0.083,0.07,65,0.195,0.207,42.2,32.3878,0.092,0.084,12.6,0.193
South,Georgia,Atkinson County,"Atkinson County, Georgia",,2.3,0.114,0.169,0,0.942,5560,273.2,24.671,0,0.058,0.06,62.13,0.254,0.333,65.3,20.2653,0.179,0.084,27.04,0.213
South,Georgia,Bacon County,"Bacon County, Georgia",,3.7,0.121,0.17,3.9,0.872,5773,288.2,11.691,1.9,0.071,0.08,46.8,0.35,0.213,55,19.3444,0.188,0.084,22.69,0.164
South,Georgia,Baker County,"Baker County, Georgia",,2.5,0.096,0.228,0,0.853,4920,248.5,18.879,0,0.049,0.05,55.51,0.247,0.226,57.4,13.2756,0.116,0.084,16.86,0.145
South,Georgia,Baldwin County,"Baldwin County, Georgia",,3.1,0.104,0.217,0,0.744,5002,248.6,20.765,0,0.046,0.06,35.28,0.341,0.091,58.4,16.6594,0.181,0.084,16.21,0.215
South,Georgia,Banks County,"Banks County, Georgia",,2.8,0.127,0.151,7.3,0.87,5625,295.4,16.847,0,0.035,0.07,59.55,0.226,0.161,59.4,14.5625,0.162,0.084,22.74,0.15
South,Georgia,Barrow County,"Barrow County, Georgia",,3.3,0.124,0.179,0,0.933,6744,340.8,14.899,0,0.032,0.08,68.87,0.285,0.189,69.7,12.2694,0.137,0.084,17.48,0.221
South,Georgia,"Bartow County, GA","Bartow County, GA, Georgia",,2.2,0.124,0.131,0,0,5253,275.8,19.238,0,0.029,0.06,89.62,0.173,0.167,73,12.479,0.167,0.084,23.11,0.139
South,Georgia,Ben Hill County,"Ben Hill County, Georgia",,2.5,0.082,0.173,0,0.935,4844,245.2,9.382,0,0.039,0.06,44.31,0.209,0.22,40.6,20.2388,0.097,0.084,39.14,0.094
South,Georgia,Berrien County,"Berrien County, Georgia",,3.7,0.148,0.178,0,0.8,5176,248.7,9.15,0,0.105,0.08,33.66,0.326,0.209,82.1,22.818,0.158,0.084,17.69,0.191
South,Georgia,"Bibb County, GA","Bibb County, GA, Georgia",,2.9,0.105,0.153,5.7,0.839,5096,284.4,14.854,1.4,0.048,0.06,49.94,0.273,0.153,55.7,24.3376,0.108,0.084,20.61,0.124
South,Georgia,Bleckley County,"Bleckley County, Georgia",,4.6,0.189,0.18,0,0.847,8398,393.4,10.208,10.6,0.073,0.1,48.15,0.441,0.157,113.5,16.9582,0.337,0.084,16.61,0.237
South,Georgia,Brantley County,"Brantley County, Georgia",,4.2,0.166,0.248,7.1,0.87,7122,374.7,6.984,4.8,0.076,0.07,69.38,0.292,0.175,54.1,22.2326,0.232,0.084,35.19,0.186
South,Georgia,Brooks County,"Brooks County, Georgia",,2.6,0.119,0.172,0,0.816,6783,332.7,19.108,0,0.029,0.08,51.27,0.368,0.211,66.7,13.0648,0.135,0.084,20.12,0.163
